date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:23	306/306	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2011:55:49%20GMT	https://b2c.kiwi/robots.txt		(from )
23:57:24	124790/124790	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:55:51%20GMT	https://b2c.kiwi/	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/index.html	(from )
23:57:25	6637/6637	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/images/icons/favicon-bege.png	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/images/icons/favicon-bege.png	(from https://b2c.kiwi/)
23:57:25	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/bootstrap.min.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/bootstrap.min.css	(from https://b2c.kiwi/)
23:57:26	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/font-awesome.min.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/font-awesome.min.css	(from https://b2c.kiwi/)
23:57:26	51284/51284	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/ionicons.min.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/ionicons.min.css	(from https://b2c.kiwi/)
23:57:27	524/524	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/css-plugins-call.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/css-plugins-call.css	(from https://b2c.kiwi/)
23:57:27	32014/32014	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/bundle.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/bundle.css	(from https://b2c.kiwi/)
23:57:28	144392/144392	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/main.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/main.css	(from https://b2c.kiwi/)
23:57:28	24583/24583	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	https://b2c.kiwi/bege/css/responsive.css	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/bege/css/responsive.css	(from https://b2c.kiwi/)
